row_index,replicate_id,peak_mutiny,collapse_quarter
37.0,0,87.352,14.0
37.0,1,87.352,14.0
37.0,2,87.352,14.0
37.0,3,87.352,14.0
37.0,4,87.352,14.0
38.0,0,96.792,14.0
38.0,1,96.792,14.0
38.0,2,96.792,14.0
38.0,3,96.792,14.0
38.0,4,96.792,14.0
39.0,0,81.272,14.0
39.0,1,81.272,14.0
39.0,2,81.272,14.0
39.0,3,81.272,14.0
39.0,4,81.272,14.0
40.0,0,71.194,15.8
40.0,1,71.194,15.8
40.0,2,71.194,15.8
40.0,3,71.194,15.8
40.0,4,71.194,15.8
41.0,0,68.04,16.0
41.0,1,68.04,16.0
41.0,2,68.04,16.0
41.0,3,68.04,16.0
41.0,4,68.04,16.0
42.0,0,66.52000000000001,13.2
42.0,1,66.52000000000001,13.2
42.0,2,66.52000000000001,13.2
42.0,3,66.52000000000001,13.2
42.0,4,66.52000000000001,13.2
43.0,0,59.34400000000001,9.8
43.0,1,59.34400000000001,9.8
43.0,2,59.34400000000001,9.8
43.0,3,59.34400000000001,9.8
43.0,4,59.34400000000001,9.8
44.0,0,66.52000000000001,13.2
44.0,1,66.52000000000001,13.2
44.0,2,66.52000000000001,13.2
44.0,3,66.52000000000001,13.2
44.0,4,66.52000000000001,13.2
45.0,0,66.52000000000001,13.2
45.0,1,66.52000000000001,13.2
45.0,2,66.52000000000001,13.2
45.0,3,66.52000000000001,13.2
45.0,4,66.52000000000001,13.2
46.0,0,87.358,15.8
46.0,1,87.358,15.8
46.0,2,87.358,15.8
46.0,3,87.358,15.8
46.0,4,87.358,15.8
47.0,0,77.598,12.6
47.0,1,77.598,12.6
47.0,2,77.598,12.6
47.0,3,77.598,12.6
47.0,4,77.598,12.6
48.0,0,53.51800000000001,13.4
48.0,1,53.51800000000001,13.4
48.0,2,53.51800000000001,13.4
48.0,3,53.51800000000001,13.4
48.0,4,53.51800000000001,13.4
49.0,0,75.67999999999999,15.4
49.0,1,75.67999999999999,15.4
49.0,2,75.67999999999999,15.4
49.0,3,75.67999999999999,15.4
49.0,4,75.67999999999999,15.4
50.0,0,63.66400000000001,13.2
50.0,1,63.66400000000001,13.2
50.0,2,63.66400000000001,13.2
50.0,3,63.66400000000001,13.2
50.0,4,63.66400000000001,13.2
51.0,0,23.218,2.2
51.0,1,23.218,2.2
51.0,2,23.218,2.2
51.0,3,23.218,2.2
51.0,4,23.218,2.2
52.0,0,75.39200000000001,14.2
52.0,1,75.39200000000001,14.2
52.0,2,75.39200000000001,14.2
52.0,3,75.39200000000001,14.2
52.0,4,75.39200000000001,14.2
53.0,0,96.134,13.4
53.0,1,96.134,13.4
53.0,2,96.134,13.4
53.0,3,96.134,13.4
53.0,4,96.134,13.4
54.0,0,95.294,14.2
54.0,1,95.294,14.2
54.0,2,95.294,14.2
54.0,3,95.294,14.2
54.0,4,95.294,14.2
55.0,0,91.974,15.2
55.0,1,91.974,15.2
55.0,2,91.974,15.2
55.0,3,91.974,15.2
55.0,4,91.974,15.2
56.0,0,66.324,14.2
56.0,1,66.324,14.2
56.0,2,66.324,14.2
56.0,3,66.324,14.2
56.0,4,66.324,14.2
57.0,0,95.294,14.2
57.0,1,95.294,14.2
57.0,2,95.294,14.2
57.0,3,95.294,14.2
57.0,4,95.294,14.2
58.0,0,92.87,14.8
58.0,1,92.87,14.8
58.0,2,92.87,14.8
58.0,3,92.87,14.8
58.0,4,92.87,14.8
59.0,0,65.91600000000001,16.4
59.0,1,65.91600000000001,16.4
59.0,2,65.91600000000001,16.4
59.0,3,65.91600000000001,16.4
59.0,4,65.91600000000001,16.4
60.0,0,96.084,14.4
60.0,1,96.084,14.4
60.0,2,96.084,14.4
60.0,3,96.084,14.4
60.0,4,96.084,14.4
61.0,0,83.73400000000001,15.2
61.0,1,83.73400000000001,15.2
61.0,2,83.73400000000001,15.2
61.0,3,83.73400000000001,15.2
61.0,4,83.73400000000001,15.2
62.0,0,68.56,14.6
62.0,1,68.56,14.6
62.0,2,68.56,14.6
62.0,3,68.56,14.6
62.0,4,68.56,14.6
63.0,0,96.084,14.4
63.0,1,96.084,14.4
63.0,2,96.084,14.4
63.0,3,96.084,14.4
63.0,4,96.084,14.4
64.0,0,87.43599999999999,14.8
64.0,1,87.43599999999999,14.8
64.0,2,87.43599999999999,14.8
